construct	displayProcedureName	gene	genotype	parameterId	parameterName	procedureName	sex	significanceValue	mgiAccessionId
tm1a(EUCOMM)Wtsi	Haematology	Hecw2	Het	IMPC_HEM_005_001	Mean cell volume	Haematology	Female	2	MGI:2685817
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Hecw2	Het	MGP_BCI_004_001	T cell CD8+ percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Female	2	MGI:2685817
tm1a(EUCOMM)Wtsi	Ear Epidermis	Hecw2	Het	MGP_EEI_022_001	Average no of branches on vg5+ DETC contacting LC	Ear epidermis immunophenotyping	Female	2	MGI:2685817
tm1a(EUCOMM)Wtsi	Anti-nuclear Antibodies	Hecw2	Het	MGP_ANA_001_001	ANA score	Anti-nuclear antibody assay	Female	2	MGI:2685817
tm1a(EUCOMM)Wtsi	Spleen	Hecw2	Het	MGP_IMM_089_001	KLRG1+ gd T cells - % of CD45+	Spleen Immuno Phenotyping	Female	1	MGI:2685817
tm1a(EUCOMM)Wtsi	Bone Marrow	Hecw2	Het	MGP_BMI_014_001	Mature B cells (hardy fraction F) - % of CD45+	Bone marrow immunophenotyping	Female	1	MGI:2685817
tm1a(EUCOMM)Wtsi	Spleen	Hecw2	Het	MGP_IMM_011_001	Resting Treg cells - % of Treg	Spleen Immuno Phenotyping	Female	1	MGI:2685817
tm1a(EUCOMM)Wtsi	Spleen	Hecw2	Het	MGP_IMM_015_001	Resting CD8+ T cells - % of CD8+	Spleen Immuno Phenotyping	Female	1	MGI:2685817
tm1a(EUCOMM)Wtsi	Bone Marrow	Hecw2	Het	MGP_BMI_001_001	Pre-pro B cells (hardy fraction A) - % of B220+	Bone marrow immunophenotyping	Female	1	MGI:2685817
tm1a(EUCOMM)Wtsi	Spleen	Hecw2	Het	MGP_IMM_028_001	KLRG1+ CD4- NKT cells - % of CD4- NKT cells	Spleen Immuno Phenotyping	Female	1	MGI:2685817
tm1a(EUCOMM)Wtsi	Homozygous viability at P14	Hecw2	Mutant	IMPC_VIA_001_001	Outcome	Viability Primary Screen	Both	3	MGI:2685817
