construct	displayProcedureName	gene	genotype	parameterId	parameterName	procedureName	sex	significanceValue	mgiAccessionId
tm1a(KOMP)Wtsi	Spleen	Nudt12	Hom	MGP_IMM_041_001	Total B cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:1915243
tm1a(KOMP)Wtsi	Spleen	Nudt12	Hom	MGP_IMM_049_001	Germinal centre B cells - % of B2 cells	Spleen Immuno Phenotyping	Male	2	MGI:1915243
tm1a(KOMP)Wtsi	Haematology	Nudt12	Hom	IMPC_HEM_027_001	Red blood cell distribution width	Haematology	Female	2	MGI:1915243
tm1a(KOMP)Wtsi	Haematology	Nudt12	Hom	IMPC_HEM_019_001	Mean platelet volume	Haematology	Male	2	MGI:1915243
tm1a(KOMP)Wtsi	Peripheral Blood Leukocytes	Nudt12	Hom	MGP_PBI_006_001	NKT cell percentage	Whole blood peripheral blood leukocyte immunophenotyping	Female	2	MGI:1915243
tm1a(KOMP)Wtsi	Peripheral Blood Leukocytes	Nudt12	Hom	MGP_PBI_014_001	B cell percentage	Whole blood peripheral blood leukocyte immunophenotyping	Male	2	MGI:1915243
tm1a(KOMP)Wtsi	Bone Marrow	Nudt12	Hom	MGP_BMI_012_001	Pre-b cells (hardy fraction D) - % of CD45+	Bone marrow immunophenotyping	Female	2	MGI:1915243
tm1a(KOMP)Wtsi	Peripheral Blood Leukocytes	Nudt12	Hom	MGP_PBI_018_001	Ly6Clow monocyte percentage	Whole blood peripheral blood leukocyte immunophenotyping	Male	2	MGI:1915243
tm1a(KOMP)Wtsi	Bone Marrow	Nudt12	Hom	MGP_BMI_001_001	Pre-pro B cells (hardy fraction A) - % of B220+	Bone marrow immunophenotyping	Male	2	MGI:1915243
tm1a(KOMP)Wtsi	Ear Epidermis	Nudt12	Hom	MGP_EEI_017_001	Average roundness of CD45+ vg5- MHC II- cells	Ear epidermis immunophenotyping	Female	2	MGI:1915243
tm1a(KOMP)Wtsi	Mesenteric Lymph Node	Nudt12	Hom	MGP_MLN_095_001	Total B2 cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:1915243
tm1a(KOMP)Wtsi	Peripheral Blood Leukocytes	Nudt12	Hom	MGP_PBI_032_001	CD4+ KLRG1+ alpha beta T cell number	Whole blood peripheral blood leukocyte immunophenotyping	Male	2	MGI:1915243
tm1a(KOMP)Wtsi	Peripheral Blood Leukocytes	Nudt12	Hom	MGP_PBI_036_001	Monocyte number	Whole blood peripheral blood leukocyte immunophenotyping	Male	2	MGI:1915243
tm1a(KOMP)Wtsi	Mesenteric Lymph Node	Nudt12	Hom	MGP_MLN_099_001	Transitional 2 B cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:1915243
tm1a(KOMP)Wtsi	Bone Marrow	Nudt12	Hom	MGP_BMI_005_001	Pre-b cells (hardy fraction D) - % of B220+	Bone marrow immunophenotyping	Male	2	MGI:1915243
