construct	parameterName	genotype	parameterId	procedureName	gene	mgiAccessionId	displayProcedureName	significanceValue	sex
tm1b(EUCOMM)Hmgu	B1a cells - % of CD45+	Het	MGP_MLN_094_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	B1a cells - % of CD45+	Het	MGP_MLN_094_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	CD4+ T helper cells - % of CD4+	Het	MGP_MLN_004_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	CD4+ T helper cells - % of CD4+	Het	MGP_MLN_004_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	CD4+ T helper cells - % of CD45+	Het	MGP_MLN_065_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	CD4+ T helper cells - % of CD45+	Het	MGP_MLN_065_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	CD5+ gd T cells - % of CD45+	Het	MGP_MLN_079_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	CD5+ gd T cells - % of CD45+	Het	MGP_MLN_079_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	CD5+ gd T cells - % of gd T cells	Het	MGP_MLN_018_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	CD5+ gd T cells - % of gd T cells	Het	MGP_MLN_018_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Early germinal centre B cells - % of CD45+	Het	MGP_MLN_102_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Early germinal centre B cells - % of CD45+	Het	MGP_MLN_102_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector CD4- NKT cells - % of CD4- NKT cells	Het	MGP_MLN_024_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector CD4- NKT cells - % of CD4- NKT cells	Het	MGP_MLN_024_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector CD4- NKT cells - % of CD45+	Het	MGP_MLN_084_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector CD4- NKT cells - % of CD45+	Het	MGP_MLN_084_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector CD4+ NKT cells - % of CD45+	Het	MGP_MLN_088_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector CD4+ NKT cells - % of CD45+	Het	MGP_MLN_088_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector CD4+ T helper cells - % of CD4+ T helper cells	Het	MGP_MLN_005_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector CD4+ T helper cells - % of CD4+ T helper cells	Het	MGP_MLN_005_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector CD4+ T helper cells - % of CD45+	Het	MGP_MLN_066_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector CD4+ T helper cells - % of CD45+	Het	MGP_MLN_066_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector CD8+ T cells - % of CD45+	Het	MGP_MLN_074_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector CD8+ T cells - % of CD45+	Het	MGP_MLN_074_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector CD8+ T cells - % of CD8+	Het	MGP_MLN_013_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector CD8+ T cells - % of CD8+	Het	MGP_MLN_013_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector gd cells - % of CD45+	Het	MGP_MLN_080_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector gd cells - % of CD45+	Het	MGP_MLN_080_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector gd T cells - % of gd T cells	Het	MGP_MLN_019_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector gd T cells - % of gd T cells	Het	MGP_MLN_019_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector NK cells - % of CD45+	Het	MGP_MLN_091_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector NK cells - % of CD45+	Het	MGP_MLN_091_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector NK cells - % of NK cells	Het	MGP_MLN_032_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector NK cells - % of NK cells	Het	MGP_MLN_032_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector Treg cells - % of CD45+	Het	MGP_MLN_070_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector Treg cells - % of CD45+	Het	MGP_MLN_070_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Effector Treg cells - % of Treg	Het	MGP_MLN_009_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Effector Treg cells - % of Treg	Het	MGP_MLN_009_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Eosinophils - % of CD45+	Het	MGP_MLN_113_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Eosinophils - % of CD45+	Het	MGP_MLN_113_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Follicular B cells - % of B2 cells	Het	MGP_MLN_042_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Follicular B cells - % of B2 cells	Het	MGP_MLN_042_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Follicular B cells - % of CD45+	Het	MGP_MLN_100_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Follicular B cells - % of CD45+	Het	MGP_MLN_100_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Germinal centre B cells - % of B2 cells	Het	MGP_MLN_043_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Germinal centre B cells - % of B2 cells	Het	MGP_MLN_043_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Germinal centre B cells - % of CD45+	Het	MGP_MLN_101_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Germinal centre B cells - % of CD45+	Het	MGP_MLN_101_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	Granulocytes - % of CD45+	Het	MGP_MLN_111_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	Granulocytes - % of CD45+	Het	MGP_MLN_111_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	KLRG1+ CD4- NKT cells - % of CD4- NKT cells	Het	MGP_MLN_026_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	KLRG1+ CD4- NKT cells - % of CD4- NKT cells	Het	MGP_MLN_026_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	KLRG1+ CD4- NKT cells - % of CD45+	Het	MGP_MLN_086_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
tm1b(EUCOMM)Hmgu	KLRG1+ CD4- NKT cells - % of CD45+	Het	MGP_MLN_086_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Female
tm1b(EUCOMM)Hmgu	KLRG1+ CD4+ NKT cells - % of CD4+ NKT cells	Het	MGP_MLN_030_001	Mesenteric Lymph Node Immunophenotyping	Arid1b	MGI:1926129	Mesenteric Lymph Node	2	Male
