construct	parameterName	genotype	parameterId	procedureName	gene	mgiAccessionId	displayProcedureName	significanceValue	sex
tm1a(KOMP)Wtsi	B1a cells - % of CD45+	Hom	MGP_MLN_094_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Male
tm1a(KOMP)Wtsi	B1a cells - % of CD45+	Hom	MGP_MLN_094_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Female
tm1a(KOMP)Wtsi	CD4+ T helper cells - % of CD4+	Hom	MGP_MLN_004_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Male
tm1a(KOMP)Wtsi	CD4+ T helper cells - % of CD4+	Hom	MGP_MLN_004_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Female
tm1a(KOMP)Wtsi	CD4+ T helper cells - % of CD45+	Hom	MGP_MLN_065_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Male
tm1a(KOMP)Wtsi	CD4+ T helper cells - % of CD45+	Hom	MGP_MLN_065_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Female
tm1a(KOMP)Wtsi	CD5+ gd T cells - % of CD45+	Hom	MGP_MLN_079_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Male
tm1a(KOMP)Wtsi	CD5+ gd T cells - % of CD45+	Hom	MGP_MLN_079_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Female
tm1a(KOMP)Wtsi	CD5+ gd T cells - % of gd T cells	Hom	MGP_MLN_018_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Male
tm1a(KOMP)Wtsi	CD5+ gd T cells - % of gd T cells	Hom	MGP_MLN_018_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Female
tm1a(KOMP)Wtsi	Early germinal centre B cells - % of CD45+	Hom	MGP_MLN_102_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Male
tm1a(KOMP)Wtsi	Early germinal centre B cells - % of CD45+	Hom	MGP_MLN_102_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Female
tm1a(KOMP)Wtsi	Effector CD4- NKT cells - % of CD4- NKT cells	Hom	MGP_MLN_024_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Male
tm1a(KOMP)Wtsi	Effector CD4- NKT cells - % of CD4- NKT cells	Hom	MGP_MLN_024_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Female
tm1a(KOMP)Wtsi	Effector CD4- NKT cells - % of CD45+	Hom	MGP_MLN_084_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Male
tm1a(KOMP)Wtsi	Effector CD4- NKT cells - % of CD45+	Hom	MGP_MLN_084_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Female
tm1a(KOMP)Wtsi	Effector CD4+ NKT cells - % of CD45+	Hom	MGP_MLN_088_001	Mesenteric Lymph Node Immunophenotyping	Cnih3	MGI:1920228	Mesenteric Lymph Node	1	Male
