construct	parameterName	genotype	parameterId	procedureName	mgiAccessionId	displayProcedureName	significanceValue	sex
(tm1)Brd	B1a cells - % of CD45+	Hom	MGP_MLN_094_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	B1a cells - % of CD45+	Hom	MGP_MLN_094_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	CD4+ T helper cells - % of CD4+	Hom	MGP_MLN_004_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	CD4+ T helper cells - % of CD4+	Hom	MGP_MLN_004_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	CD4+ T helper cells - % of CD45+	Hom	MGP_MLN_065_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	CD4+ T helper cells - % of CD45+	Hom	MGP_MLN_065_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	CD5+ gd T cells - % of CD45+	Hom	MGP_MLN_079_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	CD5+ gd T cells - % of CD45+	Hom	MGP_MLN_079_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	CD5+ gd T cells - % of gd T cells	Hom	MGP_MLN_018_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	CD5+ gd T cells - % of gd T cells	Hom	MGP_MLN_018_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Early germinal centre B cells - % of CD45+	Hom	MGP_MLN_102_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Early germinal centre B cells - % of CD45+	Hom	MGP_MLN_102_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector CD4- NKT cells - % of CD4- NKT cells	Hom	MGP_MLN_024_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector CD4- NKT cells - % of CD4- NKT cells	Hom	MGP_MLN_024_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector CD4- NKT cells - % of CD45+	Hom	MGP_MLN_084_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector CD4- NKT cells - % of CD45+	Hom	MGP_MLN_084_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector CD4+ NKT cells - % of CD45+	Hom	MGP_MLN_088_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector CD4+ NKT cells - % of CD45+	Hom	MGP_MLN_088_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector CD4+ T helper cells - % of CD4+ T helper cells	Hom	MGP_MLN_005_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector CD4+ T helper cells - % of CD4+ T helper cells	Hom	MGP_MLN_005_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector CD4+ T helper cells - % of CD45+	Hom	MGP_MLN_066_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector CD4+ T helper cells - % of CD45+	Hom	MGP_MLN_066_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector CD8+ T cells - % of CD45+	Hom	MGP_MLN_074_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector CD8+ T cells - % of CD45+	Hom	MGP_MLN_074_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector CD8+ T cells - % of CD8+	Hom	MGP_MLN_013_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector CD8+ T cells - % of CD8+	Hom	MGP_MLN_013_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector gd cells - % of CD45+	Hom	MGP_MLN_080_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector gd cells - % of CD45+	Hom	MGP_MLN_080_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector gd T cells - % of gd T cells	Hom	MGP_MLN_019_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector gd T cells - % of gd T cells	Hom	MGP_MLN_019_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector NK cells - % of CD45+	Hom	MGP_MLN_091_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector NK cells - % of CD45+	Hom	MGP_MLN_091_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector NK cells - % of NK cells	Hom	MGP_MLN_032_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector NK cells - % of NK cells	Hom	MGP_MLN_032_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
