construct	displayProcedureName	gene	genotype	parameterId	parameterName	procedureName	sex	significanceValue	mgiAccessionId
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_006_001	Effector CD4+ T helper cells - % of CD4+ T helper cells	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_082_001	Resting CD8+ T cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_089_001	KLRG1+ gd T cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_076_001	Total Treg cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_025_001	Resting CD4- NKT cells - % of CD4- NKT cells	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Pth	Hom	MGP_BCI_012_001	Monocyte percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Haematology	Pth	Hom	IMPC_HEM_004_001	Hematocrit	Haematology	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_008_001	Total Treg cells - % of CD4+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_011_001	KLRG1+ Treg cells - % of Treg	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_015_001	Resting CD8+ T cells - % of CD8+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_082_001	KLRG1+ gd T cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_033_001	Total NK cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Pth	Hom	MGP_BCI_009_001	B cell CD19+ percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Pth	Hom	MGP_BCI_003_001	Treg cell CD25+ percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Pth	Hom	MGP_BCI_007_001	CD4+CD44+CD62L- percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_087_001	Total CD4+ NKT cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_021_001	KLRG1+ gd T cells - % of gd T cells	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_006_001	Effector CD4+ T helper cells - % of CD4+ T helper cells	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_073_001	Effector CD4+ T helper cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_015_001	Resting CD8+ T cells - % of CD8+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_020_001	Resting gd T cells - % of gd T cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_069_001	Total Treg cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_028_001	KLRG1+ CD4- NKT cells - % of CD4- NKT cells	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_086_001	KLRG1+ CD4- NKT cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_034_001	KLRG1+ NK cells - % of NK cells	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_028_001	KLRG1+ CD4- NKT cells - % of CD4- NKT cells	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_073_001	Total CD8+ T cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_091_001	Total CD4- NKT cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_002_001	Total ab T cells - % of total T cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_078_001	Total gd T cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_030_001	KLRG1+ CD4+ NKT cells - % of CD4+ NKT cells	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_011_001	Resting Treg cells - % of Treg	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_034_001	KLRG1+ NK cells - % of NK cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_081_001	Effector CD8+ T cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_007_001	Resting CD4+ T helper cells - % of CD4+ T helper cells	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_026_001	KLRG1+ CD4- NKT cells - % of CD4- NKT cells	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_011_001	Resting Treg cells - % of Treg	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_069_001	Total Treg cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Haematology	Pth	Hom	IMPC_HEM_007_001	Mean cell hemoglobin concentration	Haematology	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_013_001	Effector CD8+ T cells - % of CD8+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Haematology	Pth	Hom	IMPC_HEM_003_001	Hemoglobin	Haematology	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Pth	Hom	MGP_BCI_001_001	T cell CD3+ percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_016_001	KLRG1+ CD8+ T cells - % of CD8+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_083_001	Total CD4- NKT cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_094_001	KLRG1+ CD4- NKT cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_087_001	Effector gd cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_085_001	Total gd T cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_020_001	Effector gd T cells - % of gd T cells	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_096_001	Effector CD4+ NKT cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_098_001	KLRG1+ CD4+ NKT cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_065_001	CD4+ T helper cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_033_001	Total NK cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_017_001	Total gd T cells - % of total T cells	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
